geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
52;PAYS-DE-LA-LOIRE;2017-2018;0.555675407055908;288.3950572777921;145.98418959495487;34.24219690773186;15.929504906980737;2.1839638375227133;2.1839640855893574
93;PROVENCE-ALPES-COTE-D-AZUR;2017-2018;0.5955448154981396;549.8736703750025;132.95154828614605;27.453730991501107;30.981341233913977;1.7861093066356588;1.7861093046090655
44;GRAND EST;2018-2019;0.4102268746878959;544.7407502302592;167.55271401153757;14.175751535806548;17.949710972593916;0.5391360454002636;0.5407300716565421
75;NOUVELLE-AQUITAINE;2018-2019;0.4465982506759694;812.9614139056923;167.2509915506486;12.311421032712582;24.948375787944325;0.43622665040050307;0.4364202517955779
84;AUVERGNE-RHONE-ALPES;2018-2019;0.3319084172363055;728.18273754303;167.64473104905034;12.058594473158315;17.934372012774013;0.34291697541037114;0.3430050986318141
27;BOURGOGNE-FRANCHE-COMTE;2018-2019;0.26015659304811517;429.97867233525784;167.79279999703954;11.716069785449793;7.6277036732471135;0.23998575038809322;0.24001868639904123
53;BRETAGNE;2018-2019;0.5659656883119843;423.73938690462;168.0925294116093;14.07441553432308;24.076018082215864;0.9230671995290132;0.9251834052691449
24;CENTRE-VAL-DE-LOIRE;2018-2019;0.4752141482476964;504.76644702118847;164.83775223011352;11.086415372389844;17.862423766284248;0.45299279587207336;0.45308822577169
94;CORSE;2018-2019;0.5087442058096788;402.90290839408976;164.1506391439424;17.23669044352394;19.622013822454488;0.9711852946596367;0.9965704836427209
11;ILE-DE-FRANCE;2018-2019;0.35758471900682637;471.5268095210017;160.94845663177313;14.119454941760258;13.459158654973331;0.4650723144679588;0.47256236644398
76;OCCITANIE;2018-2019;0.30070630167717843;714.9084466193982;165.25666457539532;14.078169933260721;16.430428064383857;0.37336786684359835;0.3753736762432137
32;HAUTS-DE-FRANCE;2018-2019;0.4508804556886829;558.8232659258181;166.72699952713242;12.551203195300037;20.27040320725637;0.525631888603749;0.5260307690511553
28;NORMANDIE;2018-2019;0.42432398911137553;625.4888047496394;166.1196348661173;11.8681397210677;20.494300208082542;0.4489849886646584;0.4491608412521293
52;PAYS-DE-LA-LOIRE;2018-2019;0.7282410044637919;350.00224520770365;167.34766964393785;17.513190395510392;22.17894260599927;1.2815063426032145;1.3044643287347657
93;PROVENCE-ALPES-COTE-D-AZUR;2018-2019;0.473801422135527;653.7973520971988;165.9608713327839;13.835565491364688;24.953360413219478;0.6094469761223696;0.6116650409834872
44;GRAND EST;2019-2020;0.6265527993076562;252.33399418419125;189.0228200741638;32.54200835624609;15.94775511929709;2.3748572942535953;2.3748572830058667
75;NOUVELLE-AQUITAINE;2019-2020;0.4588507815666279;389.5462293900247;170.82991988236626;19.16080580680534;16.31085458741954;0.9264049145983719;0.9264049118127781
84;AUVERGNE-RHONE-ALPES;2019-2020;0.3569050170372272;351.83334480771106;178.63404150126792;24.20683743944152;11.719601562008897;0.9310720169084491;0.9310720170520803
27;BOURGOGNE-FRANCHE-COMTE;2019-2020;0.5811224962285301;323.44460301471963;177.5087767408061;16.939084183283278;15.968647809538993;0.9656673109482783;0.9656673102653506
53;BRETAGNE;2019-2020;0.48121110607136136;315.4496354784265;173.57150679187217;21.24827077518483;14.570499564741192;1.13328039104847;1.133280390846188
24;CENTRE-VAL-DE-LOIRE;2019-2020;0.45200115229329463;203.3491321820089;180.30107479563188;29.42738462639951;9.46282819212671;1.58124682766495;1.581246830274453
94;CORSE;2019-2020;0.8098468057838266;234.9367663923634;165.04428379867943;13.525938189309842;20.614300718206408;1.3704222108452275;1.3704222084100663
11;ILE-DE-FRANCE;2019-2020;0.8374181664648018;213.92778009646648;179.53392468505214;41.831304920902966;19.48554568207736;4.399629998017001;4.399630612845596
